date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:13	5513/5513	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:12%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/	first.wpi.edu/FRC/roborio/release/docs/cpp/index.html	(from )
15:50:13	320/320	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Fri,%2022%20Jan%202016%2007:50:12%20GMT	http://first.wpi.edu/robots.txt		(from )
15:50:13	1163/1163	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2007:50:13%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/tabs.css	first.wpi.edu/FRC/roborio/release/docs/cpp/tabs.css	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:14	2983/2983	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Jan%202016%2007:50:14%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/dynsections.js	first.wpi.edu/FRC/roborio/release/docs/cpp/dynsections.js	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:14	2036/2036	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2007:50:14%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/navtree.css	first.wpi.edu/FRC/roborio/release/docs/cpp/navtree.css	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:15	2800/2800	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Jan%202016%2007:50:15%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/resize.js	first.wpi.edu/FRC/roborio/release/docs/cpp/resize.js	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:15	136515/136515	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Jan%202016%2007:50:13%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/jquery.js	first.wpi.edu/FRC/roborio/release/docs/cpp/jquery.js	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:15	4461/4461	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2007:50:15%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search.css	first.wpi.edu/FRC/roborio/release/docs/cpp/search/search.css	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:15	16974/16974	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Jan%202016%2007:50:15%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/navtree.js	first.wpi.edu/FRC/roborio/release/docs/cpp/navtree.js	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:16	22322/22322	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Jan%202016%2007:50:16%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search.js	first.wpi.edu/FRC/roborio/release/docs/cpp/search/search.js	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:17	23935/23935	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2007:50:16%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.css	first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.css	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:17	5513/5513	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:17%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/index.html	first.wpi.edu/FRC/roborio/release/docs/cpp/index-2.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:17	5882/5882	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:17%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/pages.html	first.wpi.edu/FRC/roborio/release/docs/cpp/pages.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:18	120039/120039	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:17%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html	first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:18	119155/119155	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:18%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/files.html	first.wpi.edu/FRC/roborio/release/docs/cpp/files.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:18	563/563	---M--	200	added ('OK')	image/png	etag:%221285ea2b6-233-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/mag_sel.png	first.wpi.edu/FRC/roborio/release/docs/cpp/search/mag_sel.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:19	273/273	---M--	200	added ('OK')	image/png	etag:%22128c025a8-111-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/close.png	first.wpi.edu/FRC/roborio/release/docs/cpp/search/close.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:19	3779/3779	---M--	200	added ('OK')	image/png	etag:%22128c02576-ec3-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.png	first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/)
15:50:19	169/169	---M--	200	added ('OK')	image/png	etag:%22128c0259a-a9-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/tab_b.png	first.wpi.edu/FRC/roborio/release/docs/cpp/tab_b.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/tabs.css)
15:50:20	184/184	---M--	200	added ('OK')	image/png	etag:%22128aac4be-b8-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/tab_s.png	first.wpi.edu/FRC/roborio/release/docs/cpp/tab_s.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/tabs.css)
15:50:20	177/177	---M--	200	added ('OK')	image/png	etag:%22128c02599-b1-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/tab_h.png	first.wpi.edu/FRC/roborio/release/docs/cpp/tab_h.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/tabs.css)
15:50:20	142/142	---M--	200	added ('OK')	image/png	etag:%22128c0259b-8e-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/tab_a.png	first.wpi.edu/FRC/roborio/release/docs/cpp/tab_a.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/tabs.css)
15:50:21	314/314	---M--	200	added ('OK')	image/png	etag:%221285ea25e-13a-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2splitbar.png	first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2splitbar.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/navtree.css)
15:50:22	98/98	---M--	200	added ('OK')	image/png	etag:%221285ea276-62-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/nav_h.png	first.wpi.edu/FRC/roborio/release/docs/cpp/nav_h.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/navtree.css)
15:50:22	604/604	---M--	200	added ('OK')	image/png	etag:%221285ea2b8-25c-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search_l.png	first.wpi.edu/FRC/roborio/release/docs/cpp/search/search_l.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search.css)
15:50:22	158/158	---M--	200	added ('OK')	image/png	etag:%22128c025b2-9e-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search_m.png	first.wpi.edu/FRC/roborio/release/docs/cpp/search/search_m.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search.css)
15:50:23	612/612	---M--	200	added ('OK')	image/png	etag:%22128438c3c-264-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search_r.png	first.wpi.edu/FRC/roborio/release/docs/cpp/search/search_r.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/search/search.css)
15:50:23	153/153	---M--	200	added ('OK')	image/png	etag:%221283be437-99-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/nav_f.png	first.wpi.edu/FRC/roborio/release/docs/cpp/nav_f.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.css)
15:50:23	95/95	---M--	200	added ('OK')	image/png	etag:%22128438bfb-5f-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/nav_g.png	first.wpi.edu/FRC/roborio/release/docs/cpp/nav_g.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.css)
15:50:23	676/676	---M--	200	added ('OK')	image/png	etag:%22128438b4a-2a4-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/bc_s.png	first.wpi.edu/FRC/roborio/release/docs/cpp/bc_s.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.css)
15:50:24	147/147	---M--	200	added ('OK')	image/png	etag:%2212818749a-93-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/bdwn.png	first.wpi.edu/FRC/roborio/release/docs/cpp/bdwn.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/doxygen.css)
15:50:24	86/86	---M--	200	added ('OK')	image/png	etag:%221282b9393-56-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2lastnode.png	first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2lastnode.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/pages.html)
15:50:24	8472/8472	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:24%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/deprecated.html	first.wpi.edu/FRC/roborio/release/docs/cpp/deprecated.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/pages.html)
15:50:25	47878/47878	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:25%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/classes.html	first.wpi.edu/FRC/roborio/release/docs/cpp/classes.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:25	180970/180970	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:25%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/hierarchy.html	first.wpi.edu/FRC/roborio/release/docs/cpp/hierarchy.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:26	229/229	---M--	200	added ('OK')	image/png	etag:%221285ea25f-e5-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2pnode.png	first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2pnode.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:26	8354/8354	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:25%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/functions.html	first.wpi.edu/FRC/roborio/release/docs/cpp/functions.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:26	388/388	---M--	200	added ('OK')	image/png	etag:%22128187564-184-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2ns.png	first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2ns.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:27	86/86	---M--	200	added ('OK')	image/png	etag:%221285ea25d-56-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2vertline.png	first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2vertline.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:27	453/453	---M--	200	added ('OK')	image/png	etag:%22128438be8-1c5-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2cl.png	first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2cl.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:27	10902/10902	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:27%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/classhal_1_1Resource.html	first.wpi.edu/FRC/roborio/release/docs/cpp/classhal_1_1Resource.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:28	86/86	---M--	200	added ('OK')	image/png	etag:%22128c02579-56-529604901b080%22	http://first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2node.png	first.wpi.edu/FRC/roborio/release/docs/cpp/ftv2node.png	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:28	8672/8672	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:28%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/structllvm_1_1detail_1_1DenseMapPair.html	first.wpi.edu/FRC/roborio/release/docs/cpp/structllvm_1_1detail_1_1DenseMapPair.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:28	7206/7206	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:28%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/structllvm_1_1detail_1_1LeadingZerosCounter.html	first.wpi.edu/FRC/roborio/release/docs/cpp/structllvm_1_1detail_1_1LeadingZerosCounter.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:29	6563/6563	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:29%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1detail_1_1AlignerImpl.html	first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1detail_1_1AlignerImpl.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:29	10442/10442	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:29%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/unionllvm_1_1detail_1_1SizerImpl.html	first.wpi.edu/FRC/roborio/release/docs/cpp/unionllvm_1_1detail_1_1SizerImpl.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:29	13928/13928	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:29%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1DebugEpochBase.html	first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1DebugEpochBase.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:30	12587/12587	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:30%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1DebugEpochBase_1_1HandleBase.html	first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1DebugEpochBase_1_1HandleBase.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:30	59376/59376	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:30%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1SmallVectorImpl.html	first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1SmallVectorImpl.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
15:50:30	66264/66264	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:30%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1SmallVector.html	first.wpi.edu/FRC/roborio/release/docs/cpp/classllvm_1_1SmallVector.html	(from http://first.wpi.edu/FRC/roborio/release/docs/cpp/annotated.html)
