date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:48	371/371	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jan%202016%2007:50:48%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java	first.wpi.edu/FRC/roborio/release/docs/java.0.delayed	(from )
15:50:48	320/320	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Fri,%2022%20Jan%202016%2007:50:48%20GMT	http://first.wpi.edu/robots.txt		(from )
15:50:49	2840/2840	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:48%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/	first.wpi.edu/FRC/roborio/release/docs/java/index.html	(from )
15:50:49	2926/2926	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:49%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/overview-frame.html	first.wpi.edu/FRC/roborio/release/docs/java/overview-frame.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/)
15:50:49	105623/105623	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:49%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html	first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/)
15:50:50	12842/12842	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2007:50:50%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/stylesheet.css	first.wpi.edu/FRC/roborio/release/docs/java/stylesheet.css	(from http://first.wpi.edu/FRC/roborio/release/docs/java/overview-frame.html)
15:50:51	827/827	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Jan%202016%2007:50:50%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/script.js	first.wpi.edu/FRC/roborio/release/docs/java/script.js	(from http://first.wpi.edu/FRC/roborio/release/docs/java/overview-frame.html)
15:50:51	7430/7430	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:49%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/overview-summary.html	first.wpi.edu/FRC/roborio/release/docs/java/overview-summary.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/)
15:50:51	63811/63811	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:51%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/com/ni/vision/package-frame.html	first.wpi.edu/FRC/roborio/release/docs/java/com/ni/vision/package-frame.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/overview-frame.html)
15:50:51	15542/15542	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:51%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/package-frame.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/package-frame.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/overview-frame.html)
